route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCEDB-80194035-87213470,OCESN,"","Neustadt (Weinstr) Hbf - Wissembourg",,2,,,
OCEDB-80194324-87213470,OCESN,"","WINDEN PFALZ - Wissembourg",,2,,,
OCEDB-87212464-80191031,OCESN,"","Lauterbourg - WOERTH RHEIN",,2,,,
OCEDB-80194258-87213470,OCESN,"","Landau Hbf - Wissembourg",,2,,,
OCESN-87116137-87116160,OCESN,"","Longueville (S.-et-M.) - Provins",,3,,,
OCESN-87116301-87430819,OCESN,"","Coulommiers - La-Ferté-Gaucher-Centre",,3,,,
OCESN-87175042-87113001,OCESN,"","Bar-le-Duc - Paris-Est",,2,,,
OCESN-87384008-87411017,OCESN,"","Paris-St-Lazare - Rouen-Rive-Droite",,2,,,
OCESN-87381897-87386680,OCESN,"","Conflans-Ste-Honorine - Les Mureaux",,3,,,
OCESN-87386680-87381509,OCESN,"","Les Mureaux - Mantes-la-Jolie",,3,,,
OCESN-87381509-87386573,OCESN,"","Mantes-la-Jolie - Poissy",,2,,,
OCESN-87447680-87391102,OCESN,"","Granville - Paris-Montp.3-Vaug.",,2,,,
OCESN-87381509-87415604,OCESN,"","Mantes-la-Jolie - Vernon-Giverny",,2,,,
OCESN-87581009-87592006,OCESN,"","Bordeaux-St-Jean - Limoges-Bénédictins",,2,,,
OCESN-87581009-87594093,OCESN,"","Bordeaux-St-Jean - Ussel",,2,,,
OCESN-87681007-87682005,OCESN,"","Corbeil-Essonnes - Melun",,3,,,
OCESN-87681007-87681635,OCESN,"","Corbeil-Essonnes - Coudray-Montceaux",,3,,,
OCESN-87681007-87681452,OCESN,"","Corbeil-Essonnes - La Ferté-Alais",,3,,,
OCESN-87723197-87751008,OCESN,"","Lyon-Part-Dieu - Marseille-St-Charles",,2,,,
OCESN-87396002-87481002,OCESN,"","Le Mans - Nantes",,2,,,
OCESN-87734004-87722025,OCESN,"","Clermont-Ferrand - Lyon-Perrache",,2,,,
OCESN-87722025-87686667,OCESN,"","Lyon-Perrache - Paris-Bercy",,2,,,
OCESN-87723197-87686667,OCESN,"","Lyon-Part-Dieu - Paris-Bercy",,2,,,
OCESN-87713040-87686006,OCESN,"","Dijon-Ville - Paris-Gare-de-Lyon",,2,,,
OCESN-87396002-87391003,OCESN,"","Le Mans - Paris-Montparnasse 1-2",,2,,,
OCESN-87313874-87271007,OCESN,"","Amiens - Paris-Nord",,2,,,
OCESN-87317362-87313874,OCESN,"","Abbeville - Amiens",,2,,,
OCESN-87271007-87296004,OCESN,"","Paris-Nord - St Quentin",,2,,,
OCESN-87444000-87571000,OCESN,"","Caen - Tours",,2,,,
OCESN-87444539-87391102,OCESN,"","Argentan - Paris-Montp.3-Vaug.",,2,,,
OCESN-87384008-87444315,OCESN,"","Paris-St-Lazare - Serquigny",,2,,,
OCESN-87387001-87384008,OCESN,"","Evreux - Normandie - Paris-St-Lazare",,2,,,
OCESN-87641001-87576009,OCESN,"","Montluçon-Ville - Vierzon",,2,,,
OCESN-87543009-87547000,OCESN,"","Orléans - Paris-Austerlitz",,2,,,
OCESN-87734004-87775007,OCESN,"","Clermont-Ferrand - Nîmes",,2,,,
OCE610,OCESN,"","Paris-Vaug. / Dreux / Argentan / Granville",,2,,,
OCE35,OCESN,"","Paris-Le Mans",,2,,,
OCESN-87396002-87393009,OCESN,"","Le Mans - Versailles-Chantiers",,2,,,
OCESN-87394007-87393009,OCESN,"","Chartres - Versailles-Chantiers",,2,,,
OCESN-87394007-87391003,OCESN,"","Chartres - Paris-Montparnasse 1-2",,2,,,
OCESN-87396002-87391102,OCESN,"","Le Mans - Paris-Montp.3-Vaug.",,2,,,
OCESN-87394296-87391003,OCESN,"","Nogent-le-Rotrou - Paris-Montparnasse 1-2",,2,,,
OCESN-87394296-87393009,OCESN,"","Nogent-le-Rotrou - Versailles-Chantiers",,2,,,
OCESN-87543009-87571000,OCESN,"","Orléans - Tours",,2,,,
OCE705741,OCESN,"","ORL - TO",,2,,,
OCE669703,OCESN,"","Tours-Paray-Lyon",,2,,,
OCESN-87722025-87571000,OCESN,"","Lyon-Perrache - Tours",,2,,,
OCESN-87722025-87694687,OCESN,"","Lyon-Perrache - Paray-le-Monial",,2,,,
OCE647,OCESN,"","Villefranche-La Tour de Carol",,2,,,
OCESN-87611483-87784686,OCESN,"","Latour-de-Carol-Enveitg - Villefranche-Vernet-l.B",,2,,,
OCESN-87784819-87784686,OCESN,"","Font-Romeu-Odeillo-Via - Villefranche-Vernet-l.B",,2,,,
OCESN-87763607-87761650,OCESN,"","Briançon - Romans-Bourg-de-Péage",,2,,,
OCE655,OCESN,"","ROMANS/BRIANCON",,2,,,
OCESN-87761650-87763300,OCESN,"","Romans-Bourg-de-Péage - Veynes-Dévoluy",,2,,,
OCESN-87763003-87761650,OCESN,"","Gap - Romans-Bourg-de-Péage",,2,,,
OCESN-87763607-87751008,OCESN,"","Briançon - Marseille-St-Charles",,2,,,
OCESN-87763607-87761007,OCESN,"","Briançon - Valence-Ville",,2,,,
OCESN-87763003-87751008,OCESN,"","Gap - Marseille-St-Charles",,2,,,
OCE343,OCESN,"","IC MARSEILLE/SISTERON/BRIANCON + GAP/BRI",,2,,,
OCE318,OCESN,"","IC MARSEILLE/NICE",,2,,,
OCESN-87751008-87756056,OCESN,"","Marseille-St-Charles - Nice-Ville",,2,,,
OCE46,OCESN,"","Geneve - Evian - Annecy - Valence",,2,,,
OCESN-87747006-87761007,OCESN,"","Grenoble - Valence-Ville",,2,,,
OCESN-87741009-87761007,OCESN,"","Chambéry-Chal.-les-Eaux - Valence-Ville",,2,,,
OCESN-87741009-87747006,OCESN,"","Chambéry-Chal.-les-Eaux - Grenoble",,2,,,
OCESN-87746008-87761007,OCESN,"","Annecy - Valence-Ville",,2,,,
OCESN-87746008-87747006,OCESN,"","Annecy - Grenoble",,2,,,
OCESN-87746008-87741009,OCESN,"","Annecy - Chambéry-Chal.-les-Eaux",,3,,,
OCESN-87746008-87765008,OCESN,"","Annecy - Avignon-Centre",,2,,,
OCESN-87745679-87747006,OCESN,"","Evian-les-Bains - Grenoble",,2,,,
OCESN-87745679-87761007,OCESN,"","Evian-les-Bains - Valence-Ville",,2,,,
OCE213,OCESN,"","Lyon - Grenoble",,2,,,
OCESN-87747006-87723197,OCESN,"","Grenoble - Lyon-Part-Dieu",,2,,,
OCESN-87747006-87722025,OCESN,"","Grenoble - Lyon-Perrache",,2,,,
OCE160686,OCESN,"","Lyon - Marseille Multi Activités",,2,,,
OCESN-87765008-87723197,OCESN,"","Avignon-Centre - Lyon-Part-Dieu",,2,,,
OCE725905,OCESN,"","Paris Bercy - Dijon - Lyon (Multi-Activités)",,2,,,
OCESN-87713040-87686667,OCESN,"","Dijon-Ville - Paris-Bercy",,2,,,
OCESN-87723197-87683003,OCESN,"","Lyon-Part-Dieu - Sens",,2,,,
OCESN-87713040-87723197,OCESN,"","Dijon-Ville - Lyon-Part-Dieu",,2,,,
OCESN-87725689-87686667,OCESN,"","Mâcon-Ville - Paris-Bercy",,2,,,
OCESN-87713040-87722025,OCESN,"","Dijon-Ville - Lyon-Perrache",,2,,,
OCE16635,OCESN,"","Lyon - (LTP) - Chambéry - Bourg-St-Maurice",,2,,,
OCESN-87741793-87723197,OCESN,"","Bourg-St-Maurice - Lyon-Part-Dieu",,2,,,
OCESN-87741009-87723197,OCESN,"","Chambéry-Chal.-les-Eaux - Lyon-Part-Dieu",,2,,,
